round,test_acc,train_loss
1,91.65252799457075,0.1679574068127708
2,94.33322022395656,0.06919217443121879
3,94.16355615880556,0.05391453943483419
4,94.77434679334917,0.05625648092621975
5,94.19748897183577,0.05714734139631154
6,94.29928741092637,0.0474332191783822
7,94.70648116728877,0.05439393416910217
8,94.19748897183577,0.04279135627956647
9,93.89209365456396,0.04128240964097921
10,93.58669833729216,0.03064411365158969
11,93.68849677638276,0.045101203357111756
12,94.26535459789616,0.04663285570556645
13,94.53681710213776,0.040578546160902604
14,94.36715303698676,0.08543148877894662
15,93.41703427214117,0.0627572800117607
16,94.16355615880556,0.07280386272421568
17,94.53681710213776,0.0365402997272369
18,94.23142178486597,0.03357583627262332
19,93.79029521547336,0.05461988065719858
20,94.67254835425857,0.036982125958552436
