round,test_acc
1,61.52018904685974
2,68.95147562026978
3,72.75195121765137
4,77.50254273414612
5,84.2212438583374
6,84.59450006484985
7,85.85001826286316
8,84.69629883766174
9,85.95181703567505
10,87.44485974311829
11,87.41092681884766
12,89.4808292388916
13,87.47879266738892
14,86.80013418197632
15,86.80013418197632
16,87.64845728874207
17,88.08958530426025
18,88.32710981369019
19,89.10756707191467
20,89.54869508743286
